Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.5337917526632197834563812997,0.53379175266322,0.53379175266322,0.53379175266322,0.53379175266322,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,69888.83
0.02,0,0.4947314442094377436987869714,0.494731444209438,0.494731444209438,0.494731444209438,0.494731444209438,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,139777.7
0.03,0,0.4803876188012580525333732807,0.480387618801258,0.480387618801258,0.480387618801258,0.480387618801258,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,209666.5
0.04,0,0.4733852952275859101366438226,0.473385295227586,0.473385295227586,0.473385295227586,0.473385295227586,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,279555.3
0.05,0,0.4695806641785062509880453788,0.469580664178506,0.469580664178506,0.469580664178506,0.469580664178506,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,349444.1
0.06,0,0.4674492628797551596889484102,0.467449262879755,0.467449262879755,0.467449262879755,0.467449262879755,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,419332.9
0.07,0,0.4662943535283917852502992200,0.466294353528392,0.466294353528392,0.466294353528392,0.466294353528392,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,489221.8
0.08,0,0.4666624622952585680679545131,0.466662462295259,0.466662462295259,0.466662462295259,0.466662462295259,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,559110.6
0.09,0,0.4687795436967701474114482786,0.46877954369677,0.46877954369677,0.46877954369677,0.46877954369677,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,628999.4
0.10,0,0.4709798287647168163548449218,0.470979828764717,0.470979828764717,0.470979828764717,0.470979828764717,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,698888.2
0.11,0,0.4729884671598346411840953641,0.472988467159835,0.472988467159835,0.472988467159835,0.472988467159835,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,768777.1
0.12,0,0.4747436845606163223297714947,0.474743684560616,0.474743684560616,0.474743684560616,0.474743684560616,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,838665.9
0.13,0,0.4762515912451788875711778599,0.476251591245179,0.476251591245179,0.476251591245179,0.476251591245179,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,908554.7
0.14,0,0.4775386518161039973178561423,0.477538651816104,0.477538651816104,0.477538651816104,0.477538651816104,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,978443.6
0.15,0,0.4786351276324696814394876917,0.47863512763247,0.47863512763247,0.47863512763247,0.47863512763247,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1048332
0.16,0,0.4795694190140056600257521253,0.479569419014006,0.479569419014006,0.479569419014006,0.479569419014006,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1118221
0.17,0,0.4803663305635624167624978837,0.480366330563562,0.480366330563562,0.480366330563562,0.480366330563562,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1188110
0.18,0,0.4810469236941083080000764700,0.481046923694108,0.481046923694108,0.481046923694108,0.481046923694108,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1257999
0.19,0,0.4816288471029553414831888493,0.481628847102955,0.481628847102955,0.481628847102955,0.481628847102955,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1327888
0.20,0,0.4821268139105158754809158667,0.482126813910516,0.482126813910516,0.482126813910516,0.482126813910516,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1397776
0.21,0,0.4825531090164563198550076506,0.482553109016456,0.482553109016456,0.482553109016456,0.482553109016456,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1467665
0.22,0,0.4829179722831377905179793492,0.482917972283138,0.482917972283138,0.482917972283138,0.482917972283138,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1537554
0.23,0,0.4832299875306788598188456135,0.483229987530679,0.483229987530679,0.483229987530679,0.483229987530679,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1607443
0.24,0,0.4834963714995951903228510408,0.483496371499595,0.483496371499595,0.483496371499595,0.483496371499595,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1677332
0.25,0,0.4837232159285761124965906755,0.483723215928576,0.483723215928576,0.483723215928576,0.483723215928576,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1747221
0.26,0,0.4842448537440797749504882681,0.48424485374408,0.48424485374408,0.48424485374408,0.48424485374408,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1817109
0.27,0,0.4847365293978221973684006100,0.484736529397822,0.484736529397822,0.484736529397822,0.484736529397822,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1886998
0.28,0,0.4852019621637000706394713339,0.4852019621637,0.4852019621637,0.4852019621637,0.4852019621637,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,1956887
0.29,0,0.4856443903237313498077016032,0.485644390323731,0.485644390323731,0.485644390323731,0.485644390323731,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2026776
0.30,0,0.4860666048189327809082814962,0.486066604818933,0.486066604818933,0.486066604818933,0.486066604818933,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2096665
0.31,0,0.4864709869240731756059546708,0.486470986924073,0.486470986924073,0.486470986924073,0.486470986924073,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2166554
0.32,0,0.4868595988676570793691864346,0.486859598867657,0.486859598867657,0.486859598867657,0.486859598867657,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2236442
0.33,0,0.4872342848302724129868626485,0.487234284830272,0.487234284830272,0.487234284830272,0.487234284830272,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2306331
0.34,0,0.4875965900716191036533728750,0.487596590071619,0.487596590071619,0.487596590071619,0.487596590071619,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2376220
0.35,0,0.4879479136997358833207597339,0.487947913699736,0.487947913699736,0.487947913699736,0.487947913699736,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2446109
0.36,0,0.4882894859966954001369160327,0.488289485996695,0.488289485996695,0.488289485996695,0.488289485996695,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2515998
0.37,0,0.4886223422496252039791842448,0.488622342249625,0.488622342249625,0.488622342249625,0.488622342249625,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2585886
0.38,0,0.4889474419000158241399809807,0.488947441900016,0.488947441900016,0.488947441900016,0.488947441900016,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2655775
0.39,0,0.4892656353670705073121265115,0.48926563536707,0.48926563536707,0.48926563536707,0.48926563536707,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2725664
0.40,0,0.4895776455119269625164265496,0.489577645511927,0.489577645511927,0.489577645511927,0.489577645511927,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2795553
0.41,0,0.4898841127536964048521338069,0.489884112753696,0.489884112753696,0.489884112753696,0.489884112753696,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2865442
0.42,0,0.4901856389710642571147259772,0.490185638971064,0.490185638971064,0.490185638971064,0.490185638971064,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,2935330
0.43,0,0.4904827446330743409822815487,0.490482744633074,0.490482744633074,0.490482744633074,0.490482744633074,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3005220
0.44,0,0.4907759143835660367588913107,0.490775914383566,0.490775914383566,0.490775914383566,0.490775914383566,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3075108
0.45,0,0.4910655476220407019117748568,0.491065547622041,0.491065547622041,0.491065547622041,0.491065547622041,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3144997
0.46,0,0.4913520025681824698976393011,0.491352002568182,0.491352002568182,0.491352002568182,0.491352002568182,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3214886
0.47,0,0.4916356484319524517563428372,0.491635648431952,0.491635648431952,0.491635648431952,0.491635648431952,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3284775
0.48,0,0.4919167544128006332978209689,0.491916754412801,0.491916754412801,0.491916754412801,0.491916754412801,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3354664
0.49,0,0.4921956265756687393592545570,0.492195626575669,0.492195626575669,0.492195626575669,0.492195626575669,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3424552
0.50,0,0.4924724758786367193825293020,0.492472475878637,0.492472475878637,0.492472475878637,0.492472475878637,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3494441
0.51,0,0.4927475412124898388298086557,0.49274754121249,0.49274754121249,0.49274754121249,0.49274754121249,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3564330
0.52,0,0.4930210394571013556105937624,0.493021039457101,0.493021039457101,0.493021039457101,0.493021039457101,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3634219
0.53,0,0.4932931353356827019353756238,0.493293135335683,0.493293135335683,0.493293135335683,0.493293135335683,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3704108
0.54,0,0.4935639764828181130855726582,0.493563976482818,0.493563976482818,0.493563976482818,0.493563976482818,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3773997
0.55,0,0.4938337282833959896766609273,0.493833728283396,0.493833728283396,0.493833728283396,0.493833728283396,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3843886
0.56,0,0.4941025266547202617488044595,0.49410252665472,0.49410252665472,0.49410252665472,0.49410252665472,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3913774
0.57,0,0.4943705090423451318626026880,0.494370509042345,0.494370509042345,0.494370509042345,0.494370509042345,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,3983663
0.58,0,0.4946377711912277111378884235,0.494637771191228,0.494637771191228,0.494637771191228,0.494637771191228,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4053552
0.59,0,0.4949043987797198399626306076,0.49490439877972,0.49490439877972,0.49490439877972,0.49490439877972,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4123440
0.60,0,0.4951704978440408743281795176,0.495170497844041,0.495170497844041,0.495170497844041,0.495170497844041,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4193330
0.61,0,0.4960318424086711168147066712,0.496031842408671,0.496031842408671,0.496031842408671,0.496031842408671,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4263218
0.62,0,0.4968714098448650451273781693,0.496871409844865,0.496871409844865,0.496871409844865,0.496871409844865,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4333107
0.63,0,0.4977106970655321345044399705,0.497710697065532,0.497710697065532,0.497710697065532,0.497710697065532,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4402996
0.64,0,0.4985497344316115600003199623,0.498549734431612,0.498549734431612,0.498549734431612,0.498549734431612,0,0,0,0,14.4592518168473,8.996622147214423292044165911,8.996622147214423292044165911,4472885
