Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.01,0,0.6428092289857992560788255936,0.642809228985799,0.642809228985799,0.642809228985799,0.642809228985799,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,69888.83
0.02,0,0.6037489205320172163212312653,0.603748920532017,0.603748920532017,0.603748920532017,0.603748920532017,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,139777.7
0.03,0,0.5894050951238375251558175746,0.589405095123838,0.589405095123838,0.589405095123838,0.589405095123838,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,209666.5
0.04,0,0.5824027715501653827590881165,0.582402771550165,0.582402771550165,0.582402771550165,0.582402771550165,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,279555.3
0.05,0,0.5785981405010857236104896727,0.578598140501086,0.578598140501086,0.578598140501086,0.578598140501086,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,349444.1
0.06,0,0.5764667392023346323113927041,0.576466739202335,0.576466739202335,0.576466739202335,0.576466739202335,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,419332.9
0.07,0,0.5753118298509712578727435139,0.575311829850971,0.575311829850971,0.575311829850971,0.575311829850971,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,489221.8
0.08,0,0.5756799386178380406903988070,0.575679938617838,0.575679938617838,0.575679938617838,0.575679938617838,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,559110.6
0.09,0,0.5777970200193496200338925725,0.57779702001935,0.57779702001935,0.57779702001935,0.57779702001935,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,628999.4
0.10,0,0.5799973050872962889772892157,0.579997305087296,0.579997305087296,0.579997305087296,0.579997305087296,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,698888.2
0.11,0,0.5820059434824141138065396580,0.582005943482414,0.582005943482414,0.582005943482414,0.582005943482414,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,768777.1
0.12,0,0.5837611608831957949522157886,0.583761160883196,0.583761160883196,0.583761160883196,0.583761160883196,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,838665.9
0.13,0,0.5852690675677583601936221538,0.585269067567758,0.585269067567758,0.585269067567758,0.585269067567758,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,908554.7
0.14,0,0.5865561281386834699403004362,0.586556128138684,0.586556128138684,0.586556128138684,0.586556128138684,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,978443.6
0.15,0,0.5876526039550491540619319856,0.587652603955049,0.587652603955049,0.587652603955049,0.587652603955049,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1048332
0.16,0,0.5885868953365851326481964192,0.588586895336585,0.588586895336585,0.588586895336585,0.588586895336585,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1118221
0.17,0,0.5893838068861418893849421776,0.589383806886142,0.589383806886142,0.589383806886142,0.589383806886142,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1188110
0.18,0,0.5900644000166877806225207639,0.590064400016688,0.590064400016688,0.590064400016688,0.590064400016688,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1257999
0.19,0,0.5906463234255348141056331432,0.590646323425535,0.590646323425535,0.590646323425535,0.590646323425535,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1327888
0.20,0,0.5911442902330953481033601606,0.591144290233095,0.591144290233095,0.591144290233095,0.591144290233095,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1397776
0.21,0,0.5915705853390357924774519445,0.591570585339036,0.591570585339036,0.591570585339036,0.591570585339036,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1467665
0.22,0,0.5919354486057172631404236431,0.591935448605717,0.591935448605717,0.591935448605717,0.591935448605717,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1537554
0.23,0,0.5922474638532583324412899074,0.592247463853258,0.592247463853258,0.592247463853258,0.592247463853258,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1607443
0.24,0,0.5925138478221746629452953347,0.592513847822175,0.592513847822175,0.592513847822175,0.592513847822175,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1677332
0.25,0,0.5927406922511555851190349694,0.592740692251156,0.592740692251156,0.592740692251156,0.592740692251156,0,0,0,0,17.1842253411332,8.507844001545881627252535869,8.507844001545881627252535869,1747221
